FECHA;PIB;PIB_VAR_PORCENTAJE;DEUDA_TOTAL;DEUDA_PIB_PORCENTAJE;DEUDA_PER_CAPITA;DEFICIT;DEFICIT_PIB_PORCENTAJE;EDU_GASTO_TOTAL;EDU_GASTO_PIB_PORCENTAJE;SALUD_GASTO_TOTAL;SALUD_GASTO_PORCENTAJE_PIB;DEF_GASTO_TOTAL;DEF_GASTO_PORCENTAJE_PIB;SMI;SALARIO;IPC;INDICE_CORRUPCION;TASA_DESEMPLEO;EXPORTACIONES;EXPORT_PORCENTAJE_PIB;IMPORTACIONES;IMPORT_PORCENTAJE_PIB;BALANZA_COMERCIO;BALANZA_PIB_PORCENTAJE;NACIDOS;NACIDOS_HOMBRES;NACIDOS_MUJERES;IND_FECUNDACION;MUERTES;MUERTES_HOMBRES;MUERTES_MUJERES;TASA_MORTALIDAD;RIESGO_POBREZA;ESP_MUJERES;ESP_HOMBRES;ESPERANZA_VIDA;IDH;S_MUJERES;S_HOMBRES;SUICIDIOS;TASA_S_MUJERES;TASA_S_HOMBRES;SUICIDIOS_POR_100K;HOMICIDIOS;HOMICIDIOS_POR_100K;CO2_TOTALES;C02_PER_CAPITA;GENERACION_GWh;CONSUMO_GWh;CONSUMO_PER_CAPITA;GENERACION_RENOVABLES;DENSIDAD;HOMBRES_POB;MUJERES_POB;POBLACION_TOTAL
2020;1121948,0;-10,8;1345784,0;1537155,0;120,0;-122900,0;-10,95;;;;;15730,3;1,4;950,0;26934,0;-0,3083333333333333;32,0;19,725;269521,0;24,14;285215,4;25,63;-15694,4;-1,49;339206,0;173796,0;165410,0;7,19;493776,0;249664,0;244112,0;10,4;21,0;85,06;79,59;82,33;;1011,0;2930,0;3941,0;4,18;12,61;8,31;;;214,847;4,62;502797,0;250051,0;5275,5;110605,0;94,0;23227282,0;24171413,0;47398695,0
2020;1121948,0;-10,8;1345784,0;1537155,0;120,0;-122900,0;-10,95;;;;;15730,3;1,4;950,0;26934,0;-0,3083333333333333;32,0;19,725;269521,0;24,14;285215,4;25,63;-15694,4;-1,49;339206,0;173796,0;165410,0;7,19;493776,0;249664,0;244112,0;10,4;21,0;85,06;79,59;82,33;;1011,0;2930,0;3941,0;4,18;12,61;8,31;;;214,847;4,62;502797,0;250051,0;5275,5;110605,0;94,0;23208782,0;24146903,0;47355685,0
2019;1244375,0;2,1;1188839,0;1330905,0;95,5;-35763,0;-2,87;;;80276,2;6,45;15348,6;1,23;900,0;27537,0;0,6916666666666668;30,0;18,675;298337,0;23,97;332958,5;26,76;-34621,6;-2,78;360617,0;185523,0;175094,0;7,62;418703,0;212683,0;206020,0;8,83;20,7;86,22;80,86;83,58;0,904;900,0;2771,0;3671,0;3,73;11,94;7,76;333,0;0,71;255,831;5,51;521658,0;264635,0;5591,0;97913,0;94,0;23199313,0;24133301,0;47332614,0
2019;1244375,0;2,1;1188839,0;1330905,0;95,5;-35763,0;-2,87;;;80276,2;6,45;15348,6;1,23;900,0;27537,0;0,6916666666666668;30,0;18,675;298337,0;23,97;332958,5;26,76;-34621,6;-2,78;360617,0;185523,0;175094,0;7,62;418703,0;212683,0;206020,0;8,83;20,7;86,22;80,86;83,58;0,904;900,0;2771,0;3671,0;3,73;11,94;7,76;333,0;0,71;255,831;5,51;521658,0;264635,0;5591,0;97913,0;93,0;23091898,0;24013460,0;47105358,0
2018;1203259,0;2,3;1173350,0;1385727,0;97,5;-30044,0;-2,5;50274,1;4,18;76082,7;6,32;15088,1;1,25;735,9;26922,0;1,6916666666666664;41,0;16,55;293458,8;24,39;330635,8;27,48;-37177,1;-3,09;372777,0;191569,0;181208,0;7,94;427721,0;216442,0;211279,0;9,1;21,5;85,85;80,46;83,19;0,905;920,0;2619,0;3539,0;3,83;11,31;7,49;289,0;0,62;275,864;5,95;260982,0;268886,0;5728,7;100344,0;93,0;23009259,0;23927801,0;46937060,0
2018;1203259,0;2,3;1173350,0;1385727,0;97,5;-30044,0;-2,5;50274,1;4,18;76082,7;6,32;15088,1;1,25;735,9;26922,0;1,6916666666666664;41,0;16,55;293458,8;24,39;330635,8;27,48;-37177,1;-3,09;372777,0;191569,0;181208,0;7,94;427721,0;216442,0;211279,0;9,1;21,5;85,85;80,46;83,19;0,905;920,0;2619,0;3539,0;3,83;11,31;7,49;289,0;0,62;275,864;5,95;260982,0;268886,0;5728,7;100344,0;92,0;22911649,0;23817165,0;46728814,0
2017;1161867,0;3,0;1145097,0;1293616,0;98,6;-35273,0;-3,04;48888,8;4,21;73401,0;6,32;14299,0;1,23;707,7;26550,0;1,966666666666667;42,0;15,483333333333336;283094,6;24,37;311651,2;26,82;-28556,6;-2,46;393181,0;202478,0;190703,0;8,41;424523,0;214236,0;210287,0;9,07;21,6;85,73;80,37;83,09;0,903;961,0;2718,0;3679,0;4,03;11,73;7,81;307,0;0,66;280,225;6,05;262306,0;267867,0;5741,0;84611,0;92,0;22881882,0;23776565,0;46658447,0
2017;1161867,0;3,0;1145097,0;1293616,0;98,6;-35273,0;-3,04;48888,8;4,21;73401,0;6,32;14299,0;1,23;707,7;26550,0;1,966666666666667;42,0;15,483333333333336;283094,6;24,37;311651,2;26,82;-28556,6;-2,46;393181,0;202478,0;190703,0;8,41;424523,0;214236,0;210287,0;9,07;21,6;85,73;80,37;83,09;0,903;961,0;2718,0;3679,0;4,03;11,73;7,81;307,0;0,66;280,225;6,05;262306,0;267867,0;5741,0;84611,0;92,0;22829748,0;23703121,0;46532869,0
2016;1113840,0;3,0;1104554,0;1222631,0;99,2;-47953,0;-4,31;47089,1;4,23;71343,3;6,41;12672,5;1,14;655,2;26449,0;-0,1916666666666665;41,0;15,516666666666667;262041,3;23,53;281056,8;25,23;-19015,5;-1,71;410583,0;211087,0;199496,0;8,8;410611,0;208993,0;201618,0;8,79;22,3;85,84;80,31;83,11;0,899;907,0;2662,0;3569,0;3,81;11,58;7,63;294,0;0,63;264,339;5,7;261836,0;264666,0;5688,4;101089,0;92,0;22834227,0;23692812,0;46527039,0
2016;1113840,0;3,0;1104554,0;1222631,0;99,2;-47953,0;-4,31;47089,1;4,23;71343,3;6,41;12672,5;1,14;655,2;26449,0;-0,1916666666666665;41,0;15,516666666666667;262041,3;23,53;281056,8;25,23;-19015,5;-1,71;410583,0;211087,0;199496,0;8,8;410611,0;208993,0;201618,0;8,79;22,3;85,84;80,31;83,11;0,899;907,0;2662,0;3569,0;3,81;11,58;7,63;294,0;0,63;264,339;5,7;261836,0;264666,0;5688,4;101089,0;92,0;22805230,0;23644644,0;46449874,0
