FECHA,TASA_DESEMPLEO
2021,20.355555555555554
2020,19.725
2019,18.675
2018,16.55
2017,15.483333333333336
2016,15.516666666666667
2015,17.066666666666666
2014,20.833333333333336
2013,22.05
2012,20.791666666666664
2011,19.90833333333333
2010,18.4
2009,16.408333333333335
2008,13.6
2007,11.916666666666666
2006,10.575
2005,11.466666666666669
2004,11.491666666666667
2003,10.975
2002,9.158333333333331
2001,8.441666666666666
2000,8.25
1999,11.266666666666666
1998,17.883333333333333
1997,19.866666666666664
1996,21.40833333333333
1995,24.825
1994,26.10833333333333
1993,24.450000000000003
1992,22.058333333333334
1991,19.633333333333336
1990,17.23333333333333
1989,15.25
1988,14.125000000000002
1987,15.541666666666666
1986,15.1625
