Entity,Code,Year,Number of children who are stunted (IHME)
Afghanistan,AFG,1990,1509775.7303199999
Afghanistan,AFG,1995,2174953.7752
Afghanistan,AFG,2000,2657398.98648
Afghanistan,AFG,2005,3031783.6824000003
Afghanistan,AFG,2010,3061150.6074
Afghanistan,AFG,2016,2934661.0308
Albania,ALB,1990,110297.99887999998
Albania,ALB,1995,92428.68686
Albania,ALB,2000,101266.68980000001
Albania,ALB,2005,59243.7381
Albania,ALB,2010,42425.561219999996
Albania,ALB,2016,38694.29157
Algeria,DZA,1990,1005334.2330400001
Algeria,DZA,1995,1247734.4010299998
Algeria,DZA,2000,1052088.0924999998
Algeria,DZA,2005,584773.9087400001
Algeria,DZA,2010,534427.3593199999
Algeria,DZA,2016,528055.9214
Angola,AGO,1990,1267703.42616
Angola,AGO,1995,1476497.38635
Angola,AGO,2000,1596146.4612
Angola,AGO,2005,1552560.0786200003
Angola,AGO,2010,1523367.96864
Angola,AGO,2016,1603209.1095400003
Antigua and Barbuda,ATG,1990,644.1925600000001
Antigua and Barbuda,ATG,1995,626.5555999999999
Antigua and Barbuda,ATG,2000,553.96088
Antigua and Barbuda,ATG,2005,545.9175
Antigua and Barbuda,ATG,2010,503.18590000000006
Antigua and Barbuda,ATG,2016,504.7437700000001
Argentina,ARG,1990,405152.118
Argentina,ARG,1995,499335.86486
Argentina,ARG,2000,345683.52896
Argentina,ARG,2005,279861.55340000003
Argentina,ARG,2010,264031.53966
Argentina,ARG,2016,251333.27362000002
Armenia,ARM,1990,65219.23408
Armenia,ARM,1995,49541.39078
Armenia,ARM,2000,36120.728579999995
Armenia,ARM,2005,32673.139030000006
Armenia,ARM,2010,42744.21330999999
Armenia,ARM,2016,35778.70488
Australia,AUS,1990,62210.895339999995
Australia,AUS,1995,56961.188129999995
Australia,AUS,2000,43246.85152
Australia,AUS,2005,39645.09375
Australia,AUS,2010,45566.95545
Australia,AUS,2016,45854.62488
Austria,AUT,1990,8349.592679999998
Austria,AUT,1995,6604.347720000001
Austria,AUT,2000,5267.434699999999
Austria,AUT,2005,4845.20559
Austria,AUT,2010,4699.02668
Austria,AUT,2016,4879.2535
Azerbaijan,AZE,1990,236459.23063
Azerbaijan,AZE,1995,239702.78379999998
Azerbaijan,AZE,2000,167775.13932
Azerbaijan,AZE,2005,177668.80625
Azerbaijan,AZE,2010,128427.29711999999
Azerbaijan,AZE,2016,124567.12303999996
Bahamas,BHS,1990,2498.997
Bahamas,BHS,1995,2608.2433199999996
Bahamas,BHS,2000,1917.2965
Bahamas,BHS,2005,2018.2269
Bahamas,BHS,2010,2129.71765
Bahamas,BHS,2016,1733.8041500000002
Bahrain,BHR,1990,8234.69175
Bahrain,BHR,1995,7583.4117
Bahrain,BHR,2000,6519.32928
Bahrain,BHR,2005,3519.70668
Bahrain,BHR,2010,2873.26474
Bahrain,BHR,2016,3144.6746100000005
Bangladesh,BGD,1990,10139278.83617
Bangladesh,BGD,1995,9818934.44708
Bangladesh,BGD,2000,9408477.556
Bangladesh,BGD,2005,7725652.58619
Bangladesh,BGD,2010,7162002.927309999
Bangladesh,BGD,2016,5465699.5806
Barbados,BRB,1990,1830.5355600000003
Barbados,BRB,1995,1631.31312
Barbados,BRB,2000,1423.2983000000002
Barbados,BRB,2005,1346.76308
Barbados,BRB,2010,1285.49456
Barbados,BRB,2016,1078.0776
Belarus,BLR,1990,48861.75067
Belarus,BLR,1995,35733.323659999995
Belarus,BLR,2000,28313.33172
Belarus,BLR,2005,24298.255520000006
Belarus,BLR,2010,25289.5587
Belarus,BLR,2016,26463.8661
Belgium,BEL,1990,11097.41094
Belgium,BEL,1995,8202.590100000001
Belgium,BEL,2000,7062.152319999998
Belgium,BEL,2005,7025.24368
Belgium,BEL,2010,7536.338339999998
Belgium,BEL,2016,7404.399639999999
Belize,BLZ,1990,7409.512500000001
Belize,BLZ,1995,6318.8721399999995
Belize,BLZ,2000,6766.48989
Belize,BLZ,2005,7784.818969999999
Belize,BLZ,2010,7097.28936
Belize,BLZ,2016,5419.3489
Benin,BEN,1990,376132.49355
Benin,BEN,1995,422575.55494
Benin,BEN,2000,500161.48658000014
Benin,BEN,2005,637677.6544
Benin,BEN,2010,766358.7435600002
Benin,BEN,2016,572608.1358799998
Bhutan,BTN,1990,54873.91748
Bhutan,BTN,1995,49548.32328
Bhutan,BTN,2000,41316.08229
Bhutan,BTN,2005,27646.940969999996
Bhutan,BTN,2010,23327.14923
Bhutan,BTN,2016,17310.1382
Bolivia,BOL,1990,411325.39404
Bolivia,BOL,1995,391073.33538
Bolivia,BOL,2000,396367.63120000006
Bolivia,BOL,2005,372637.51460999995
Bolivia,BOL,2010,267310.70884
Bolivia,BOL,2016,209634.48414999995
Bosnia and Herzegovina,BIH,1990,52480.75637999999
Bosnia and Herzegovina,BIH,1995,40051.20678
Bosnia and Herzegovina,BIH,2000,27625.137580000006
Bosnia and Herzegovina,BIH,2005,21526.590090000005
Bosnia and Herzegovina,BIH,2010,27070.8216
Bosnia and Herzegovina,BIH,2016,21572.880810000006
Botswana,BWA,1990,55134.139169999995
Botswana,BWA,1995,60730.60144000001
Botswana,BWA,2000,64411.38168
Botswana,BWA,2005,73662.71443999998
Botswana,BWA,2010,77282.92943999999
Botswana,BWA,2016,62810.27928
Brazil,BRA,1990,3850323.7489
Brazil,BRA,1995,2740857.8052600003
Brazil,BRA,2000,2062617.0141
Brazil,BRA,2005,1328053.8738000002
Brazil,BRA,2010,1012398.18848
Brazil,BRA,2016,882176.8249700001
Brunei,BRN,1990,4127.9212
Brunei,BRN,1995,4188.3634
Brunei,BRN,2000,3495.7697599999997
Brunei,BRN,2005,3064.6369199999995
Brunei,BRN,2010,2960.4233999999997
Brunei,BRN,2016,2989.9537800000003
Bulgaria,BGR,1990,66116.49124
Bulgaria,BGR,1995,49933.6007
Bulgaria,BGR,2000,38890.04856
Bulgaria,BGR,2005,36415.23831
Bulgaria,BGR,2010,37497.08476
Bulgaria,BGR,2016,29774.74545
Burkina Faso,BFA,1990,742709.16984
Burkina Faso,BFA,1995,1016358.59286
Burkina Faso,BFA,2000,1074636.27105
Burkina Faso,BFA,2005,1246818.69144
Burkina Faso,BFA,2010,1030283.6304
Burkina Faso,BFA,2016,978394.8839100002
Burundi,BDI,1990,582359.30424
Burundi,BDI,1995,618419.24168
Burundi,BDI,2000,682093.8443799999
Burundi,BDI,2005,781677.37375
Burundi,BDI,2010,891165.4050299998
Burundi,BDI,2016,969321.17241
Cambodia,KHM,1990,907187.4659999999
Cambodia,KHM,1995,912617.2942399998
Cambodia,KHM,2000,771555.9524399999
Cambodia,KHM,2005,796296.07486
Cambodia,KHM,2010,766585.9229400001
Cambodia,KHM,2016,585671.4995200002
Cameroon,CMR,1990,759560.9625000001
Cameroon,CMR,1995,931498.86276
Cameroon,CMR,2000,902175.7379600002
Cameroon,CMR,2005,1135110.11739
Cameroon,CMR,2010,1196469.6192
Cameroon,CMR,2016,1156028.38533
Canada,CAN,1990,56600.42241
Canada,CAN,1995,54232.456520000014
Canada,CAN,2000,43851.50460000001
Canada,CAN,2005,38404.4068
Canada,CAN,2010,40574.50659
Canada,CAN,2016,40082.05131999999
Cape Verde,CPV,1990,17519.999999999996
Cape Verde,CPV,1995,14443.9173
Cape Verde,CPV,2000,10757.10782
Cape Verde,CPV,2005,8578.056960000002
Cape Verde,CPV,2010,6960.40776
Cape Verde,CPV,2016,5974.4841
Central African Republic,CAF,1990,151663.11171000003
Central African Republic,CAF,1995,217977.82512
Central African Republic,CAF,2000,282102.74727
Central African Republic,CAF,2005,310865.86795
Central African Republic,CAF,2010,308746.8052
Central African Republic,CAF,2016,280170.8651800001
Chad,TCD,1990,503487.24608
Chad,TCD,1995,609566.7102000001
Chad,TCD,2000,708239.64915
Chad,TCD,2005,851632.69888
Chad,TCD,2010,920525.5672000002
Chad,TCD,2016,987537.67275
Chile,CHL,1990,88421.7786
Chile,CHL,1995,49978.039359999995
Chile,CHL,2000,34140.3402
Chile,CHL,2005,45618.045600000005
Chile,CHL,2010,37498.13427
Chile,CHL,2016,26869.37856
China,CHN,1990,37396907.4375
China,CHN,1995,26091827.787600003
China,CHN,2000,17613462.838230003
China,CHN,2005,12541161.38418
China,CHN,2010,11383133.404950002
China,CHN,2016,10089537.17237
Colombia,COL,1990,880363.5753600001
Colombia,COL,1995,882834.0303499999
Colombia,COL,2000,803161.5760000001
Colombia,COL,2005,644333.1394499999
Colombia,COL,2010,485308.2263200001
Colombia,COL,2016,405923.33034
Comoros,COM,1990,34832.08608000001
Comoros,COM,1995,37393.393350000006
Comoros,COM,2000,42433.21872000001
Comoros,COM,2005,38709.10869
Comoros,COM,2010,37125.71667999999
Comoros,COM,2016,35319.34945
Congo,COG,1990,81837.36450000001
