Entity,Code,Year,Number of children who are wasted (IHME)
Afghanistan,AFG,1990,274346.77072
Afghanistan,AFG,1995,401098.9322
Afghanistan,AFG,2000,379003.48959000007
Afghanistan,AFG,2005,407823.2994
Afghanistan,AFG,2010,484251.6155
Afghanistan,AFG,2016,515611.31826000003
Albania,ALB,1990,34271.05244
Albania,ALB,1995,29191.012970000003
Albania,ALB,2000,27437.82175
Albania,ALB,2005,18550.692750000002
Albania,ALB,2010,15322.369929999997
Albania,ALB,2016,15226.35642
Algeria,DZA,1990,280538.99820000003
Algeria,DZA,1995,367268.37917999993
Algeria,DZA,2000,342233.259
Algeria,DZA,2005,264353.0933
Algeria,DZA,2010,255907.22611999998
Algeria,DZA,2016,247813.63810000004
Angola,AGO,1990,416535.09318
Angola,AGO,1995,473338.0302
Angola,AGO,2000,423758.69838
Angola,AGO,2005,434375.61618
Angola,AGO,2010,450874.70232000004
Angola,AGO,2016,448524.11574000004
Antigua and Barbuda,ATG,1990,188.61612
Antigua and Barbuda,ATG,1995,192.18055999999996
Antigua and Barbuda,ATG,2000,190.28968
Antigua and Barbuda,ATG,2005,170.78625
Antigua and Barbuda,ATG,2010,162.68049000000002
Antigua and Barbuda,ATG,2016,166.06416000000002
Argentina,ARG,1990,167608.602
Argentina,ARG,1995,161985.44176000002
Argentina,ARG,2000,137277.32674
Argentina,ARG,2005,104578.90724
Argentina,ARG,2010,95306.65929000001
Argentina,ARG,2016,89711.13278
Armenia,ARM,1990,8444.990399999999
Armenia,ARM,1995,6589.66336
Armenia,ARM,2000,5961.48282
Armenia,ARM,2005,8073.5705400000015
Armenia,ARM,2010,8849.66283
Armenia,ARM,2016,8309.589240000001
Australia,AUS,1990,19590.027599999998
Australia,AUS,1995,20726.13749
Australia,AUS,2000,15447.13088
Australia,AUS,2005,13320.7515
Australia,AUS,2010,14721.181950000002
Australia,AUS,2016,14624.417399999998
Austria,AUT,1990,5562.106679999999
Austria,AUT,1995,5919.34742
Austria,AUT,2000,4809.3969
Austria,AUT,2005,3909.6071399999996
Austria,AUT,2010,3799.87848
Austria,AUT,2016,3888.479
Azerbaijan,AZE,1990,55846.1645
Azerbaijan,AZE,1995,48582.7216
Azerbaijan,AZE,2000,36268.3878
Azerbaijan,AZE,2005,32954.7498
Azerbaijan,AZE,2010,39094.20183
Azerbaijan,AZE,2016,48275.76351999999
Bahamas,BHS,1990,794.3341999999999
Bahamas,BHS,1995,836.4619799999999
Bahamas,BHS,2000,708.8170000000001
Bahamas,BHS,2005,691.3279799999999
Bahamas,BHS,2010,723.20039
Bahamas,BHS,2016,573.6945499999999
Bahrain,BHR,1990,4627.27575
Bahrain,BHR,1995,4101.5268
Bahrain,BHR,2000,3973.9190399999998
Bahrain,BHR,2005,2890.8394200000002
Bahrain,BHR,2010,2737.92318
Bahrain,BHR,2016,2870.19909
Bangladesh,BGD,1990,3258151.612349999
Bangladesh,BGD,1995,3007361.1374399997
Bangladesh,BGD,2000,2180993.9924999997
Bangladesh,BGD,2005,2137532.3361
Bangladesh,BGD,2010,2215452.7614800003
Bangladesh,BGD,2016,1851384.7130099998
Barbados,BRB,1990,1254.63212
Barbados,BRB,1995,1180.7001599999999
Barbados,BRB,2000,1069.8116
Barbados,BRB,2005,1008.1213999999999
Barbados,BRB,2010,953.1059200000001
Barbados,BRB,2016,802.2335999999999
Belarus,BLR,1990,23663.84576
Belarus,BLR,1995,17421.035079999998
Belarus,BLR,2000,13471.44486
Belarus,BLR,2005,12470.014480000002
Belarus,BLR,2010,13337.468900000002
Belarus,BLR,2016,14628.588700000002
Belgium,BEL,1990,7498.5695399999995
Belgium,BEL,1995,7434.169020000001
Belgium,BEL,2000,6537.963199999998
